LABEL	DATE (duration)	TYPE
BS — Biology, IISER	08/2012 - 05/2015	education
Disordered Proteins Project	05/2015 - 09/2015	research
MS — Biology, IISER	08/2015 - 05/2017	education
Thesis Projects	05/2016 - 05/2017	research
Research Associate, IISER	05/2017 - 08/2020	work
Independent Research & Upskilling	10/2020 - 02/2022	education
Google Data Analytics	04/2022 - 01/2023	education
Gene Expression & Open Chromatin	04/2022 - 09/2022	research
Nextflow Workshop	06/2023	education
Independent Research Projects	04/2024 - 04/2025	research
MDS — UBC	08/2025 - 06/2026	education
Research Projects, UBC	08/2025 - 06/2026	research
Graduate Teaching Assistant	12/2025 - 07/2026	work
---MARKERS---
Relocated to CANADA	08/2020	marker
